Trip id,Starttime,Stoptime,Bikeid,Tripduration,From station id,From station name,To station id,To station name,Usertype
32718094,6/22/2017 20:36,6/22/2017 20:55,70276,1143,1040,O'Hara St and University Place (Soldiers and Sailors Memorial),1019,42nd St & Butler St,Customer
32718118,6/22/2017 20:39,6/22/2017 20:51,70490,690,1010,10th St & Penn Ave (David L. Lawrence Convention Center),1049,S 12th St & E Carson St,Customer
32718217,6/22/2017 20:51,6/22/2017 20:57,70195,328,1011,Fort Duquesne Blvd & 7th St,1010,10th St & Penn Ave (David L. Lawrence Convention Center),Customer
32718276,6/22/2017 20:57,6/22/2017 21:28,70388,1869,1010,10th St & Penn Ave (David L. Lawrence Convention Center),1010,10th St & Penn Ave (David L. Lawrence Convention Center),Customer
32718284,6/22/2017 20:58,6/22/2017 22:09,70140,4308,1004,First Ave & B St (T Station),1004,First Ave & B St (T Station),Customer
32718475,6/22/2017 21:22,6/22/2017 22:14,70229,3158,1017,21st St & Penn Ave,1035,Fifth Ave & S Dithridge St,Customer
32718477,6/22/2017 21:22,6/22/2017 23:11,70000,6527,1019,42nd St & Butler St,1018,37th St & Butler St,Customer
32718500,6/22/2017 21:25,6/22/2017 22:14,70354,2965,1017,21st St & Penn Ave,1035,Fifth Ave & S Dithridge St,Customer
32718503,6/22/2017 21:25,6/22/2017 22:14,70374,2953,1017,21st St & Penn Ave,1035,Fifth Ave & S Dithridge St,Customer
32718505,6/22/2017 21:25,6/24/2017 10:31,70260,133546,1017,21st St & Penn Ave,1035,Fifth Ave & S Dithridge St,Customer
32718515,6/22/2017 21:27,6/22/2017 22:01,70342,2051,1000,Liberty Ave & Stanwix St,1000,Liberty Ave & Stanwix St,Customer
32718563,6/22/2017 21:35,6/22/2017 21:50,70165,871,1026,Penn Ave & S Whitfield St,1019,42nd St & Butler St,Subscriber
32718564,6/22/2017 21:35,6/22/2017 23:06,70297,5419,1000,Liberty Ave & Stanwix St,1000,Liberty Ave & Stanwix St,Customer
32718649,6/22/2017 21:47,6/22/2017 21:48,70215,66,1000,Liberty Ave & Stanwix St,1000,Liberty Ave & Stanwix St,Customer
32718674,6/22/2017 21:51,6/22/2017 23:06,70365,4497,1001,Forbes Ave & Market Square,1000,Liberty Ave & Stanwix St,Customer
32718675,6/22/2017 21:51,6/22/2017 22:06,70382,878,1005,Forbes Ave & Grant St,1045,S 27th St & Sidney St. (Southside Works),Subscriber
32718690,6/22/2017 21:54,6/22/2017 23:06,70359,4299,1001,Forbes Ave & Market Square,1000,Liberty Ave & Stanwix St,Customer
32718729,6/22/2017 22:03,6/22/2017 22:04,70428,100,1001,Forbes Ave & Market Square,1001,Forbes Ave & Market Square,Customer
32718734,6/22/2017 22:03,6/22/2017 22:06,70016,138,1001,Forbes Ave & Market Square,1001,Forbes Ave & Market Square,Customer
32718738,6/22/2017 22:05,6/22/2017 22:08,70044,180,1001,Forbes Ave & Market Square,1001,Forbes Ave & Market Square,Customer
32718769,6/22/2017 22:11,6/22/2017 22:25,70223,888,1007,Stevenson St & Forbes Ave,1049,S 12th St & E Carson St,Customer
32718770,6/22/2017 22:11,6/22/2017 22:16,70015,279,1047,S 22nd St & E Carson St,1049,S 12th St & E Carson St,Subscriber
32718783,6/22/2017 22:12,6/22/2017 22:15,70487,143,1000,Liberty Ave & Stanwix St,1000,Liberty Ave & Stanwix St,Customer
32718787,6/22/2017 22:14,6/22/2017 22:16,70342,156,1000,Liberty Ave & Stanwix St,1000,Liberty Ave & Stanwix St,Customer
32718789,6/22/2017 22:14,6/22/2017 23:12,70122,3493,1000,Liberty Ave & Stanwix St,1000,Liberty Ave & Stanwix St,Customer
32718797,6/22/2017 22:16,6/22/2017 22:24,70354,491,1035,Fifth Ave & S Dithridge St,1035,Fifth Ave & S Dithridge St,Subscriber
32718802,6/22/2017 22:17,6/22/2017 22:54,70317,2238,1001,Forbes Ave & Market Square,1045,S 27th St & Sidney St. (Southside Works),Customer
32718803,6/22/2017 22:18,6/22/2017 22:29,70044,660,1001,Forbes Ave & Market Square,1004,First Ave & B St (T Station),Customer
32718812,6/22/2017 22:19,6/22/2017 23:27,70215,4103,1000,Liberty Ave & Stanwix St,1000,Liberty Ave & Stanwix St,Customer
32718847,6/22/2017 22:24,6/22/2017 23:21,70244,3445,1000,Liberty Ave & Stanwix St,1000,Liberty Ave & Stanwix St,Customer
32718878,6/22/2017 22:31,6/22/2017 22:54,70140,1392,1004,First Ave & B St (T Station),1045,S 27th St & Sidney St. (Southside Works),Customer
32718923,6/22/2017 22:38,6/22/2017 22:57,70032,1170,1010,10th St & Penn Ave (David L. Lawrence Convention Center),1018,37th St & Butler St,Subscriber
32718931,6/22/2017 22:39,6/22/2017 23:17,70422,2262,1045,S 27th St & Sidney St. (Southside Works),1045,S 27th St & Sidney St. (Southside Works),Customer
32718977,6/22/2017 22:49,6/22/2017 22:54,70275,304,1038,Boulevard of the Allies & Parkview Ave,1037,Frew St & Schenley Dr,Subscriber
